3050 4030 3
16 4156 16.46 37.35
17 361 0.5 1.24
17 1880 17.43 29.99
17 3080 13.49 26.29
17 459 15.06 22.49
17 1912 8.64 15.61
18 2251 6.59 15.17
18 302 19.78 24.7
18 4120 16.7 40.63
18 805 8.77 13.11
18 4129 1.73 2.27
19 3678 11.53 26.69
19 4283 6.58 12.65
19 2197 8.99 14.17
19 87 4.97 7.94
19 3697 3.48 8.41
20 878 17.87 24.1
20 3570 14.48 34.95
20 3227 16.12 32.69
20 885 4.12 5.21
20 701 19.16 30.88
21 3985 7.14 13.35
21 2535 14.26 25.89
21 2312 16.24 29.77
21 3838 2.07 3.29
21 1307 2.78 3.83
22 931 1.39 1.98
22 4820 12.71 31.22
22 1370 4.07 6.73
22 3573 7.79 9.66
22 1917 19.89 39.39
23 149 1.73 3.14
23 1700 7.11 14.47
23 1781 7.55 16.21
23 2661 2.6 5.12
23 64 19.34 36.99
24 3899 9.65 20.51
24 4585 13.54 20.25
24 895 2.85 6.46
24 4178 18.18 29.71
24 1334 9.52 13.04
25 40 15.7 33.35
25 2023 12.2 26.59
25 3817 14.91 22.95
25 3236 11.15 14.64
25 1119 10.56 24.95
26 2667 11.97 15.07
26 3230 4.15 9.92
26 927 10.95 13.64
26 2854 10.85 14.3
26 2272 11.03 15.47
27 534 15.24 26.66
27 3420 7.95 18.27
27 2244 8.78 19.78
27 84 6.97 12.55
27 585 6.33 8.43
28 1662 3.91 5.22
28 4544 18.95 32.09
28 3227 12.09 19.43
28 67 7.15 12.47
28 1731 14.7 25.91
29 561 2.89 5.83
29 3917 18.29 24.62
29 953 6.41 12.08
29 278 7.33 11.7
29 2880 5.55 10.25
30 3844 19.64 38.2
30 431 0.93 1.79
30 4300 7.39 12.6
30 398 9.87 23.37
30 985 17.18 42.32
31 2426 15.56 37.13
31 3876 6.27 8.3
31 704 5.88 9.28
31 2919 11.34 17.99
31 4836 16.04 39.32
32 4397 3.54 5.98
32 2394 13.02 22.55
32 526 5.48 12.56
32 3872 12.81 27.58
32 3560 6.74 14.15
33 1599 19.55 38.94
33 2710 18.28 30.78
33 501 9.42 16.98
33 2793 9.86 19.78
33 3808 6.21 10.28
34 1663 1.46 2.51
34 3516 17.59 21.32
34 4813 19.82 27.28
34 1993 1.02 1.7
34 684 5.57 7.28
35 3808 16.64 29.21
35 482 12.58 31.28
35 1056 16.99 33.67
35 951 1.13 1.57
35 4087 17.52 25.88
36 3783 10.87 19.46
36 3416 1.79 2.38
36 3235 14.26 28.07
36 3475 16.33 24.61
36 3254 16.07 19.87
37 136 7.28 17.09
37 1042 9.27 22.6
37 4740 13.43 18.19
37 648 15.68 37.05
37 706 6.09 13.24
38 3071 1.73 4.05
38 3977 4.95 9.96
38 2031 18.8 41.3
38 4704 11.25 17.17
38 2162 11.1 26.4
39 656 7.03 16.06
39 2495 2.82 4.69
39 113 11.39 27.63
39 3756 6.56 14.51
39 389 16.73 22.44
40 954 11.91 27.74
40 315 2.87 5.15
40 4723 0.67 0.93
40 1917 4.83 10.71
40 113 7.8 16.17
41 485 14.3 25.96
41 3543 8.62 17.72
41 3305 7.08 14.15
41 299 5.61 8.02
41 3178 3.53 7.36
42 2770 14.97 22.69
42 4836 15.74 28.92
42 4953 12.47 15.45
42 805 15.25 36.04
42 1883 6.61 13.37
43 1138 18.8 26.3
43 2771 18.56 46.11
43 4139 10.47 23.76
43 411 15.56 36.32
43 2747 10.45 17.18
44 1737 2.95 5.28
44 3207 12.57 21.98
44 1938 12.36 24.18
44 2689 10.13 24.6
44 2169 16.22 30.21
45 4067 16.95 41.88
45 3657 15.04 21.19
45 39 5.6 9.03
45 3141 14.29 22.2
45 1947 5.26 7.3
46 1568 13.04 32.3
46 756 9.43 20.85
46 3868 1.95 3.42
46 4064 10.77 21.13
46 2246 9.82 19.37
47 2774 2.87 5.03
47 516 17.71 38.19
47 1419 7.03 15.06
47 4486 18.97 42.11
47 1745 13.58 31.62
48 4882 9.71 18.37
48 2034 5.78 12.74
48 2983 2.48 4.43
48 3052 18.41 38.03
48 2427 10.12 23.71
49 2512 6.77 11.04
49 2619 18.37 43.08
49 896 14.7 23.19
49 3949 7.66 16.68
49 4517 5.03 8.9
50 4745 12.32 19.18
50 1104 8.19 15.77
50 2264 12.37 23.84
50 4103 4.37 7.43
50 76 10.7 21.84
51 4413 13.88 31.97
51 4051 6.05 10.13
51 1467 13.85 19.55
51 3448 18.52 39.79
51 4469 19.16 46.53
52 3792 0.56 0.97
52 2546 12.99 23.88
52 459 12.62 16.24
52 2641 7.54 17.24
52 1292 18.38 45.82
53 2273 7.14 8.61
53 2805 2.57 3.37
53 553 4.5 10.38
53 4622 2.28 3.54
53 3800 16.46 32.0
54 2756 15.17 18.69
54 392 16.26 30.4
54 152 7.45 16.5
54 1029 5.92 13.4
54 1638 11.16 24.7
55 12 13.12 25.94
55 1940 13.76 25.53
55 1949 11.49 27.89
55 3986 1.56 2.92
55 3916 6.61 12.58
56 423 14.18 31.05
56 550 17.26 35.65
56 3193 11.21 19.79
56 1540 18.81 23.35
56 351 4.71 8.61
57 4303 3.19 3.9
57 89 3.43 5.66
57 3540 10.68 22.84
57 3465 3.33 4.68
57 4247 7.05 13.4
58 588 18.73 28.61
58 3038 17.33 32.49
58 3678 5.51 11.44
58 4639 2.95 5.78
58 826 18.86 40.45
59 769 6.08 9.55
59 1544 8.62 19.47
59 2008 15.76 35.99
59 1022 3.98 7.82
59 2747 17.6 41.58
60 1738 11.32 15.88
60 1267 4.46 11.13
60 4553 2.37 4.11
60 177 6.44 9.03
60 2005 7.75 11.68
61 2102 3.94 7.45
61 3409 15.91 24.03
61 295 6.09 13.5
61 2714 9.14 22.34
61 2312 16.98 36.98
62 3637 10.05 23.05
62 3315 16.05 22.12
62 543 12.38 26.31
62 2901 1.06 1.77
62 563 2.51 6.13
63 4206 17.2 40.63
63 4424 6.85 8.9
63 1996 19.86 33.7
63 245 10.64 17.11
63 2367 4.78 10.24
64 1109 7.6 14.79
64 1912 19.3 39.0
64 2168 7.58 12.1
64 3947 16.44 34.76
64 4469 9.18 18.13
65 3364 4.6 9.87
65 4482 3.61 6.49
65 3107 1.41 2.02
65 4678 8.65 13.31
65 3635 11.89 29.68
66 2740 2.76 3.36
66 4776 13.0 18.34
66 3691 17.3 37.81
66 767 1.33 2.41
66 2658 4.21 10.15
67 4049 7.42 15.02
67 2923 7.55 18.8
67 1037 9.31 23.16
67 1997 3.23 7.84
67 1578 11.63 28.97
68 1670 6.23 10.28
68 330 13.83 30.58
68 1249 14.56 29.05
68 1077 15.3 23.33
68 4778 1.5 2.57
69 465 3.79 6.72
69 3425 2.77 4.37
69 1444 14.24 31.23
69 3183 9.4 16.84
69 4860 8.87 11.53
70 2853 16.7 27.59
70 875 19.79 24.3
70 926 19.4 43.16
70 1719 5.93 12.82
70 1090 12.52 29.52
71 3178 16.83 32.74
71 2256 15.93 30.49
71 2348 18.77 32.87
71 3860 2.18 3.14
71 569 19.52 37.96
72 1400 16.23 27.37
72 1858 12.09 28.88
72 1119 17.55 29.31
72 1977 17.04 34.59
72 1804 18.14 26.19
73 2935 12.06 19.48
73 2628 6.22 13.78
73 1405 19.46 36.53
73 1150 3.08 3.84
73 3352 18.42 42.14
74 3537 8.22 10.12
74 2618 13.91 28.5
74 330 8.45 16.0
74 1663 4.18 10.07
74 3286 18.42 45.42
75 4075 18.79 45.97
75 1554 13.46 20.26
75 3614 11.54 25.53
75 2648 9.48 14.23
75 2255 6.59 14.98
76 4788 19.54 40.33
76 1873 2.29 5.24
76 3255 3.58 5.42
76 4165 3.77 5.58
76 4773 13.5 22.15
77 1046 10.04 12.6
77 1707 18.47 37.91
77 455 15.5 20.4
77 3305 1.84 4.3
77 3649 6.12 11.4
78 1307 18.21 28.08
78 2943 10.43 16.76
78 4213 19.44 40.5
78 4031 14.57 33.18
78 186 12.85 30.24
79 4900 16.91 23.82
79 1847 9.48 16.93
79 2456 17.83 37.06
79 2761 9.69 15.81
79 2532 10.01 13.74
80 2446 2.93 4.82
80 4141 4.33 9.74
80 126 18.86 24.05
80 3722 17.59 27.95
80 1212 10.76 20.66
81 3684 8.1 13.23
81 4884 11.35 26.54
81 4444 13.08 20.18
81 2062 12.79 31.27
81 2642 3.78 6.28
82 3628 19.36 43.53
82 2445 3.45 7.78
82 3099 9.39 14.88
82 85 8.35 18.19
82 458 15.7 21.07
83 3464 6.99 14.37
83 2656 7.97 11.81
83 94 4.57 10.95
83 730 17.81 24.37
83 2012 16.17 31.99
84 2087 10.0 14.59
84 4286 16.14 29.67
84 1057 12.26 17.1
84 1114 4.67 7.15
84 4869 13.5 23.58
85 4685 0.76 1.77
85 2973 14.05 31.89
85 2805 5.75 14.19
85 3672 5.97 7.9
85 1481 15.23 29.16
86 1264 1.15 2.72
86 3806 5.9 14.27
86 3237 8.59 10.9
86 3569 6.09 14.88
86 1465 17.76 36.52
87 3568 16.55 26.77
87 2884 10.67 15.98
87 2086 5.06 8.34
87 563 13.13 26.87
87 1380 10.75 26.54
88 620 12.62 20.82
88 233 6.92 13.39
88 2288 14.97 23.4
88 3342 3.34 4.7
88 3039 10.19 17.95
89 2672 11.57 18.47
89 3938 2.58 5.37
89 313 4.08 5.44
89 1091 18.0 38.42
89 3665 9.37 16.13
90 2941 2.26 3.9
90 3956 19.82 32.62
90 2927 9.59 12.4
90 3321 3.41 7.09
90 4078 6.73 13.21
91 1938 6.81 12.47
91 4094 15.0 18.6
91 4516 16.3 30.85
91 4546 10.83 14.77
91 4344 17.65 27.76
92 1608 7.88 10.14
92 855 2.65 6.37
92 4321 16.98 34.59
92 2953 12.86 21.84
92 1053 9.97 15.33
93 3605 3.73 6.25
93 4425 15.42 22.35
93 3645 7.76 17.04
93 3970 1.51 3.41
93 475 7.25 16.29
94 3137 19.83 48.85
94 733 19.65 28.06
94 1546 17.61 25.92
94 1205 5.62 11.33
94 3933 1.34 2.59
95 1946 12.16 21.9
95 670 2.52 4.22
95 4940 1.78 3.99
95 2648 12.86 26.34
95 400 18.2 39.02
96 3868 7.72 16.7
96 3416 8.63 15.3
96 2405 2.66 4.95
96 4570 10.3 15.33
96 4643 10.39 22.92
97 689 8.03 12.44
97 3845 4.42 8.47
97 718 16.69 28.38
97 1195 5.59 12.25
97 2715 2.0 3.12
98 3995 7.15 12.84
98 3734 17.11 27.42
98 62 6.59 9.28
98 3035 18.66 25.8
98 2748 7.59 18.69
99 114 13.51 18.71
99 2480 13.31 31.92
99 460 5.48 12.31
99 2721 14.26 21.21
99 2018 18.72 46.11
100 552 11.72 28.04
100 4308 17.43 21.39
100 1751 14.08 19.26
100 3596 9.8 13.32
100 297 7.3 14.3
101 1721 1.48 2.94
101 227 1.21 2.39
101 1985 5.42 9.08
101 273 9.77 22.79
101 3863 12.7 16.82
102 1260 17.44 27.19
102 2598 0.51 0.74
102 2319 3.96 7.15
102 3886 9.32 13.26
102 3197 1.75 2.89
103 4268 15.87 33.86
103 1710 18.09 38.47
103 2476 15.69 31.19
103 1657 11.44 20.45
103 1424 1.66 2.73
104 902 5.15 12.19
104 2433 15.23 21.66
104 2847 18.71 25.99
104 3927 3.6 7.61
104 4836 10.56 20.15
105 2980 5.61 7.45
105 648 14.72 29.37
105 1663 1.32 3.02
105 762 5.02 11.98
105 1808 0.93 2.22
106 363 19.15 35.77
106 2639 17.62 33.04
106 4190 5.66 13.36
106 722 2.48 4.45
106 2562 1.61 2.35
107 133 3.69 5.0
107 3857 14.36 34.44
107 1050 17.23 26.03
107 3303 1.17 2.69
107 4148 4.83 11.84
108 3480 17.02 35.21
108 1337 18.07 23.92
108 1763 6.42 10.12
108 3701 19.69 34.92
108 3928 1.27 1.61
109 253 8.12 13.85
109 1213 6.06 8.61
109 4366 10.03 22.13
109 4206 12.43 21.22
109 116 6.67 12.79
110 83 19.32 34.41
110 4933 17.46 33.79
110 3119 15.73 22.19
110 2665 14.61 27.02
110 4002 2.86 5.97
111 3996 15.03 31.88
111 4644 19.02 40.37
111 2479 17.74 21.48
111 2858 15.18 22.33
111 1970 9.86 20.96
112 0 1.68 3.25
112 1934 5.67 12.42
112 4371 6.53 14.06
112 4364 4.1 6.89
112 4678 17.18 41.24
113 4708 15.93 22.53
113 2245 15.14 22.3
113 1559 1.05 1.43
113 131 19.84 49.22
113 1113 18.13 29.67
114 4041 3.59 6.05
114 1199 11.45 27.83
114 3431 9.19 13.04
114 4838 18.1 36.41
114 2229 5.86 10.93
115 4263 9.02 13.65
115 1947 10.12 21.68
115 2820 2.75 3.59
115 3361 15.29 23.16
115 4233 15.16 20.24
116 3889 4.5 6.0
116 1725 4.34 7.24
116 1439 17.96 34.8
116 231 18.86 38.54
116 3719 18.28 41.99
117 2210 16.19 31.68
117 1093 7.63 18.7
117 3893 0.7 1.53
117 3060 11.01 22.5
117 2509 2.51 4.74
118 4848 5.75 10.42
118 1231 10.26 25.3
118 3452 4.54 11.14
118 2346 6.92 8.95
118 1476 9.74 21.95
119 200 0.69 1.24
119 1790 19.83 32.23
119 121 18.22 43.91
119 1105 14.55 33.73
119 4525 11.36 25.42
120 3643 18.76 26.28
120 1617 14.86 25.59
120 2739 1.67 4.01
120 3839 16.19 28.27
120 4111 3.1 4.66
121 1092 15.75 33.29
121 4304 14.99 22.71
121 1392 3.11 6.59
121 2641 17.1 24.24
121 2530 15.74 32.7
122 2138 10.92 13.7
122 3682 3.79 4.89
122 3243 9.68 17.04
122 3265 19.22 35.72
122 4663 17.2 21.0
123 2755 2.69 6.34
123 2455 16.42 33.61
123 2054 14.41 24.16
123 1949 14.18 19.99
123 514 10.06 16.28
124 3103 1.72 2.83
124 2943 3.19 7.83
124 3495 3.6 5.38
124 2993 14.4 32.88
124 4641 4.16 6.88
125 369 19.59 28.74
125 3943 19.11 43.87
125 594 18.76 27.22
125 3374 15.5 30.5
125 2682 7.62 13.14
126 878 12.17 17.94
126 1620 7.06 15.96
126 2276 11.98 16.16
126 4144 5.91 11.12
126 1930 15.19 23.38
127 715 10.34 20.06
127 3960 5.61 12.32
127 4028 4.18 8.14
127 1208 7.6 15.96
127 161 12.03 28.92
128 1698 5.51 9.87
128 3569 4.86 10.94
128 4802 11.58 24.79
128 1033 19.15 41.27
128 2987 9.74 13.54
129 2788 15.32 22.52
129 4045 11.18 19.05
129 1630 13.09 26.12
129 2510 19.96 33.22
129 434 8.15 14.44
130 1450 2.09 4.54
130 3735 3.46 5.21
130 2147 4.3 9.92
130 871 13.42 28.0
130 1486 11.7 25.99
131 2272 13.05 17.24
131 1792 14.65 28.3
131 2735 12.64 18.42
131 2728 10.59 17.11
131 651 10.96 23.48
132 3143 17.42 28.77
132 937 12.98 22.28
132 2050 3.71 4.65
132 4974 12.77 23.04
132 556 5.91 10.42
133 3165 2.28 3.24
133 2672 9.75 12.78
133 4151 17.01 29.33
133 1750 18.18 25.34
133 3128 18.01 42.45
134 3347 3.43 7.0
134 2958 18.58 32.35
134 161 18.82 30.36
134 575 9.87 12.48
134 610 5.85 11.94
135 3090 5.02 7.97
135 4590 17.34 39.57
135 2812 9.0 15.26
135 1275 16.66 36.71
135 4794 10.71 14.19
136 619 11.47 14.28
136 3901 3.78 8.06
136 3824 14.69 24.99
136 723 18.89 22.7
136 4664 3.03 5.21
137 3246 13.04 21.79
137 4893 8.19 16.4
137 2057 4.91 5.91
137 382 9.67 19.07
137 2574 4.09 5.75
138 697 17.19 40.67
138 13 10.72 14.92
138 3043 3.77 4.94
138 543 18.59 31.23
138 46 4.4 9.89
139 2058 11.7 26.04
139 1638 11.84 15.95
139 4590 7.91 16.95
139 4632 16.66 38.43
139 3255 15.2 21.95
140 3575 13.49 25.39
140 1652 12.79 22.0
140 4112 4.29 6.02
140 1021 17.17 42.79
140 192 18.97 38.92
141 2287 12.71 28.64
141 181 7.56 13.72
141 4646 16.28 32.95
141 1139 5.42 9.0
141 4496 13.99 31.2
142 613 5.76 10.03
142 2173 8.51 14.53
142 4869 6.51 13.26
142 1474 2.74 3.47
142 2999 18.9 28.06
143 979 1.02 1.6
143 2244 18.01 40.56
143 1369 2.64 6.22
143 2516 13.1 25.75
143 3694 9.61 13.98
144 4411 14.16 22.91
144 1631 2.54 3.14
144 1863 17.05 34.07
144 221 4.3 9.02
144 4754 19.44 41.71
145 1756 5.92 11.77
145 4998 14.23 20.97
145 438 7.67 15.25
145 4473 4.62 11.28
145 1163 15.93 37.45
146 62 1.28 2.41
146 2130 6.06 14.81
146 4605 13.57 28.21
146 2918 13.86 23.55
146 125 14.79 34.73
147 166 18.71 32.36
147 4231 8.07 11.09
147 3140 8.76 19.98
147 2449 7.61 12.41
147 4 17.82 24.76
148 2181 19.12 38.22
148 2512 11.14 16.51
148 4694 11.48 20.78
148 275 10.39 23.1
148 4895 3.54 5.61
149 3072 15.07 20.52
149 4062 1.66 2.57
149 2461 12.79 28.84
149 1188 6.63 11.2
149 494 11.16 14.29
150 739 0.66 1.31
150 1579 19.61 42.93
150 3722 13.48 17.03
150 2743 5.32 12.91
150 1247 15.0 25.55
151 3737 7.46 12.83
151 2769 11.29 19.89
151 488 1.52 2.17
151 3616 8.07 17.37
151 1581 11.61 21.47
152 2251 2.63 3.16
152 1347 18.18 42.8
152 2622 9.08 15.45
152 1292 0.85 1.29
152 4370 1.93 4.09
153 935 10.0 22.31
153 1730 10.24 20.93
153 4636 7.74 11.09
153 2477 15.96 21.6
153 2016 6.54 15.64
154 4160 4.96 11.92
154 2949 14.37 21.43
154 1018 5.29 6.91
154 1889 14.81 32.02
154 1261 10.46 14.19
155 388 3.54 7.48
155 647 5.59 9.9
155 4113 1.97 3.48
155 785 12.85 21.17
155 4672 9.27 17.09
156 4040 8.22 15.42
156 4710 11.69 16.61
156 3008 5.17 11.5
156 220 2.66 4.08
156 2035 6.51 13.42
157 1172 7.9 19.09
157 2552 1.21 2.27
157 1881 10.95 22.23
157 1875 18.32 29.71
157 1602 17.01 42.17
158 3276 8.79 12.28
158 3451 9.23 17.17
158 4168 19.19 40.58
158 3475 15.09 37.64
158 4939 2.77 5.18
159 885 17.75 21.71
159 1019 10.41 18.6
159 3334 19.16 35.96
159 4191 0.53 0.73
159 2598 12.25 15.71
160 998 3.74 4.94
160 4667 4.12 5.56
160 4971 13.72 30.35
160 2167 3.22 5.03
160 693 2.64 4.12
161 391 19.97 46.72
161 1672 2.78 4.03
161 3446 18.72 46.52
161 1750 9.23 16.01
161 4912 17.24 30.64
162 2493 17.13 27.66
162 731 6.39 8.85
162 2906 6.66 16.03
162 3194 1.31 2.58
162 4908 1.26 2.8
163 4727 6.34 10.44
163 219 19.96 34.23
163 1939 5.87 7.17
163 1516 2.58 4.1
163 896 13.81 32.41
164 3643 10.26 21.35
164 4402 11.01 25.89
164 823 15.9 35.04
164 4499 15.13 27.89
164 4459 9.59 20.72
165 4639 2.08 2.52
165 3489 10.58 15.46
165 3020 7.53 17.35
165 1047 11.2 20.22
165 3300 16.51 37.79
166 4573 8.8 19.52
166 1330 14.44 26.87
166 2165 18.58 38.27
166 3489 18.13 31.75
166 2060 6.25 9.75
167 1936 19.84 47.24
167 3157 16.54 34.94
167 1161 18.96 41.52
167 3117 12.47 17.93
167 4566 19.05 45.64
168 4942 15.66 38.71
168 970 19.43 47.01
168 4074 15.5 31.0
168 4273 9.51 15.94
168 265 8.73 18.51
169 1772 0.76 1.38
169 4662 16.93 32.17
169 113 8.75 12.37
169 1458 1.88 2.54
169 447 14.19 20.8
170 1178 16.15 23.84
170 3239 4.76 10.63
170 1072 19.98 41.96
170 3985 17.04 30.33
170 1236 8.72 12.03
171 278 6.65 15.24
171 2387 15.53 32.99
171 2551 3.73 5.96
171 3728 3.33 4.19
171 4550 18.56 28.15
172 2420 12.27 21.82
172 3013 8.71 16.29
172 2005 4.92 8.1
172 2309 7.41 11.51
172 4864 5.12 8.63
173 3703 16.35 24.87
173 1105 5.7 10.07
173 1475 4.46 6.21
173 3120 16.36 21.54
173 2871 0.76 1.08
174 4380 9.72 15.15
174 2199 18.87 28.89
174 1479 18.96 34.4
174 4989 1.9 3.89
174 1451 7.38 11.88
175 3385 18.05 44.7
175 354 10.41 19.83
175 2689 5.48 12.32
175 4098 13.41 19.0
175 3392 6.36 12.6
176 1832 7.2 11.64
176 3752 15.48 36.7
176 1764 13.74 24.15
176 1329 4.79 10.2
176 2867 5.25 6.92
177 3251 9.03 12.25
177 4708 1.03 2.52
177 2590 6.36 15.57
177 2584 14.38 35.19
177 1906 2.82 5.79
178 2884 19.44 27.87
178 4411 10.47 21.43
178 799 19.19 40.76
178 684 5.42 10.56
178 2992 19.24 33.31
179 2201 18.27 26.59
179 1592 7.96 14.4
179 3237 7.09 12.14
179 3128 11.18 18.17
179 1531 5.84 12.79
180 1701 12.69 29.78
180 481 19.09 44.01
180 84 8.44 16.35
180 3105 19.94 49.46
180 683 9.41 22.71
181 4470 9.8 14.07
181 3749 10.81 14.78
181 2117 13.06 29.97
181 100 18.54 42.25
181 4940 14.44 35.33
182 2398 18.97 42.09
182 2360 14.99 27.52
182 2448 3.83 7.48
182 4113 8.16 15.95
182 3842 10.45 17.49
183 4795 3.55 7.4
183 3996 7.55 9.22
183 2466 4.21 6.05
183 3782 16.46 39.32
183 4114 19.84 33.34
184 4120 17.81 38.1
184 3465 3.79 6.35
184 2424 17.05 26.15
184 3130 13.29 20.47
184 260 11.6 24.69
185 4500 18.58 25.16
185 3789 13.87 26.65
185 997 18.07 28.54
185 2901 6.13 8.16
185 234 8.2 18.84
186 938 4.27 9.16
186 1158 17.85 22.71
186 2320 11.69 26.49
186 4136 5.38 12.55
186 2436 12.45 20.76
187 3162 16.96 35.79
187 3427 6.38 10.26
187 3073 15.62 26.35
187 3304 14.58 28.89
187 1889 3.72 8.29
188 1234 12.34 23.03
188 4986 1.41 2.43
188 4311 18.48 30.5
188 2264 14.71 29.92
188 1333 4.78 6.22
189 2568 15.87 32.4
189 2434 7.16 14.43
189 1642 10.55 20.29
189 2481 19.49 44.66
189 2481 18.24 22.1
190 4895 10.28 17.89
190 2072 17.68 40.1
190 3232 4.79 5.99
190 2196 6.22 10.76
190 4002 13.76 20.41
191 4929 15.72 34.94
191 2450 11.6 18.6
191 2854 13.6 23.5
191 77 9.33 14.41
191 4915 6.0 8.65
192 1985 3.05 7.6
192 1985 10.11 16.38
192 1821 15.71 19.46
192 1195 9.29 15.11
192 562 8.44 14.36
193 3557 1.53 2.19
193 2843 2.52 3.76
193 3835 8.66 17.19
193 3756 13.74 17.78
193 2436 15.55 38.1
194 2982 2.83 6.7
194 1466 7.26 15.43
194 3386 1.59 3.35
194 2874 6.91 13.29
194 1820 6.71 12.31
195 369 14.97 35.43
195 1658 18.57 39.78
195 3533 11.16 16.48
195 577 10.81 22.13
195 4172 15.67 30.91
196 425 16.49 28.75
196 4837 10.13 23.8
196 2106 8.74 12.59
196 1105 8.38 12.52
196 2195 9.13 21.85
197 386 10.92 21.42
197 3062 7.3 17.83
197 1166 15.84 20.45
197 1751 1.23 1.69
197 1524 1.36 3.32
198 357 12.45 19.58
198 4562 14.97 36.36
198 3370 4.06 6.61
198 1654 16.58 36.29
198 126 17.26 42.89
199 3659 2.29 4.01
199 3693 2.82 5.53
199 2702 18.23 31.09
199 4526 9.17 19.64
199 3892 13.11 19.25
200 715 19.46 40.18
200 2236 9.79 17.72
200 1235 3.31 7.07
200 4435 3.09 6.62
200 3273 13.24 16.74
201 3722 12.0 23.11
201 3293 7.11 16.38
201 4306 2.92 4.69
201 540 2.12 3.72
201 3226 13.87 33.36
202 10 11.39 15.86
202 3787 17.85 30.44
202 1509 10.93 14.0
202 3097 14.78 28.56
202 3650 9.12 13.24
203 3752 2.46 5.96
203 4542 7.9 19.24
203 1442 14.08 17.81
203 2350 13.36 22.86
203 4812 10.92 24.72
204 1817 2.28 4.3
204 2457 3.6 8.79
204 3047 19.13 36.24
204 2812 16.39 28.56
204 2614 17.21 22.9
205 1917 17.31 28.9
205 4342 19.4 35.44
205 3464 12.91 15.55
205 3353 11.13 19.09
205 1014 7.09 11.55
206 4885 12.7 26.02
206 360 12.09 23.25
206 2381 13.5 24.71
206 3557 1.87 3.54
206 3284 12.75 25.21
207 79 13.82 18.5
207 1758 7.05 14.09
207 3104 2.19 3.51
207 532 2.11 2.95
207 1164 8.71 11.74
208 4574 14.89 26.67
208 1677 2.9 3.62
208 1693 11.01 15.52
208 2061 16.55 40.71
208 1302 12.08 23.86
209 1911 18.26 37.23
209 2205 10.83 14.96
209 4633 16.22 38.39
209 2518 8.35 16.83
209 3914 2.1 4.26
210 3841 11.51 14.41
210 4498 17.97 30.12
210 2395 8.35 14.09
210 4749 18.12 37.28
210 2776 2.66 4.24
211 2702 19.6 39.83
211 3731 17.55 35.98
211 3079 6.48 13.37
211 4275 0.64 1.4
211 4271 10.37 13.29
212 1281 16.22 33.59
212 4842 0.78 0.96
212 1884 2.82 4.58
212 2664 16.61 24.48
212 2477 4.93 8.87
213 1018 12.69 15.83
213 1406 17.65 30.19
213 1576 7.08 17.09
213 3655 17.49 37.67
213 1242 10.0 18.18
214 4832 1.43 3.0
214 721 19.52 42.3
214 4873 8.91 14.81
214 3082 6.48 9.99
214 1622 8.75 16.69
215 803 12.74 23.83
215 4882 10.91 26.6
215 4410 15.45 37.31
215 4511 5.59 8.51
215 3047 15.18 26.85
216 4781 18.42 39.79
216 3721 15.38 30.88
216 479 12.29 30.02
216 3349 11.5 18.18
216 1889 19.58 27.15
217 1021 19.09 31.39
217 928 18.22 30.34
217 3400 19.37 42.48
217 4023 6.2 8.36
217 3786 12.26 19.83
218 1671 10.99 21.77
